Programme_ID,Programme_Name,Programme_Short_Description,Programme_Location,Programme_Access,Programme_Detailed_Description,Image,Page URL,Narratives_Programme_Is_Part_Of,Discipline_Programme_Is_Part_Of
440,The Green Clean / De groene schoonmaak,"People with a distance from the jobmarket bring sustainability, greening and reuse closer to you","Centre area, LuuXX Kleine Berg, Kleine berg 54",Access,People with intellectual disabilities reduce complex issues to simple solutions. In their own way by rearranging existing objects in new design and by making natural cleaning products and clean air products. In this way we become a bit kinder to the earth.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/thumbnail-img-5553_1692883451_1800x1010.jpg,https://ddw.nl/en/programme/9922/the-green-clean-de-groene-schoonmaak,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""SPECULATIVE & SOCIAL DESIGN"", ""GROUP EXHIBITION""]",Social Design
441,The House Is a Marionette,"Formed by a chain of external forces, if the house is a marionette, who should pull the strings?","Hallenweg area, De Fabriek, Baarsstraat 38",Free,"The marionette house explores the boundaries between a human and an object: a re-humanization of the (non-)still life. A collection of awareness-oriented, instead of function-oriented, speculative furniture, challenges the cause and effect between the body and its immediate habitat.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1-models_1693438456_1800x1010.jpg,https://ddw.nl/en/programme/10536/the-house-is-a-marionette,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""INDEPENDENT & CRITICAL DESIGN""]",Speculative Design
442,The Invisibility of Things,,"Strijp-S area, VEEM floor 8, Torenallee 100",Free,"'The 'Invisibility of Things' delves into how standardized objects drive globalization and shape our daily lives. Shai questions creative maker-ship using 3D printing, driven by a need to understand our relationship with surrounding objects and restore balance amid their omnipresence.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/2023-shaidatauker_1693951964_1800x1010.jpg,https://ddw.nl/en/programme/10965/the-invisibility-of-things,,
443,The Kitchen: space of connections,A system of kitchen units informed by assembly and usability,"Strijp T+R area, Piet Hein Eek, Halvemaanstraat 30",Free,"Zerogloss kitchen combines an easy-to-assemble and minimal material system with an understated aesthetic, inspired by a sense of simple living, both in style and usability. A kitchen that naturally connects to relationships, functions and spaces of daily life with an intimate, human attitude.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/4_1693232169_1800x1010.jpg,https://ddw.nl/en/programme/9934/the-kitchen-space-of-connections,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""PRODUCT & CRAFT DESIGN""]",Industrial Design
444,The Language of Sustainability,When storytelling meets sustainable design,"Strijp T+R area, Innovation Powerhouse, Zwaanstraat 31a",Access,"In the face of climate collapse, designers must steer industries away from extractive usage models and guide users towards mindful lifestyles.

To truly glimpse the impact of design and make decisions accordingly, we must understand the product we design in context.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/microsoftteams-image-5_1693479201_1800x1010.png,https://ddw.nl/en/programme/9774/the-language-of-sustainability,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""SERVICE & INNOVATIVE DESIGN""]",Design Research
445,The ManyTree,What if we could 'build' trees?,"Station area, Central Station, Outside, Stationsplein 17",Free,"'The ManyTree' by arboreal architect Josh Russo-Batterham explores a new typology for urban greenery: A hybrid tree; half-built and half-grown. This prompts us to think differently about how use and value greenery in our cities, and challenges us with the question ""what if we could 'build' trees?"".",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/ddw-hero-shot-reduced_1694955288_1800x1010.jpg,https://ddw.nl/en/programme/10312/the-manytree,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""INDEPENDENT & CRITICAL DESIGN""]",Design Research
446,The Meme Bootcamp,"Transform yourself and learn how to harness the power of memes to process your worst, cringiest, and anxiety-inducing moments as designer and artist.","Hallenweg area, De Fabriek, Baarsstraat 38",Free,Meme making as therapy? As an extraordinary bottom-up form of expression they can also be extremely helpful to self-reflect and process difficult moments at work and in life. But how? Daniel and Elena will teach you during the 30-minute Meme Bootcamp. Enlist today - Not for the faint of heart!,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/front-ddw_1693416027_1800x1010.png,https://ddw.nl/en/programme/10731/the-meme-bootcamp,,
447,"The New Old, Objects for use.",Re-establishing the connection between an object and its user. Shining light on deprecated heritage by creating new objects for use.,"Sectie-C area, Hall 16 - A, Daalakkersweg 16",,"In the present era, we often disconnect from the objects and implements that surround us. Amidst the rapid pace of life and the industrially driven world we inhabit, we inadvertently overlook the artistry, the knowledge of materials, and the heritage woven into our everyday objects.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/ddw_1693519791_1800x1010.jpg,https://ddw.nl/en/programme/10214/the-new-old-objects-for-use,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""PRODUCT & CRAFT DESIGN""]",Design Research
448,The one man show,Trying to redefine the best version of myself.,"Sectie-C area, Hall 8 - A, Daalakkersweg 8 - 40",,OPEN STUDIO,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/monobloc-forest-small_1693402572_1800x1010.jpg,https://ddw.nl/en/programme/10160/the-one-man-show,"[""EXHIBITIONS"", ""OUR DIGITAL FUTURE"", ""SIGNATURE & COLLECTIBLE DESIGN""]",Art Design
449,The Product Chronicles,Exploring the narrative of things that matter,"Hallenweg area, Atelier NL, Bergmannstraat 76",Free,"Consumer society is running at full speed. The more we surround ourselves with products, the less value or meaning they seem to have to us. How can design today lead to products that will still matter tomorrow?",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/theproductchronicles-2440x1600px_1693130834_1800x1010.png,https://ddw.nl/en/programme/10505/the-product-chronicles,"[""EXHIBITIONS"", ""OUR LIVING ENVIRONMENT"", ""PRODUCT & CRAFT DESIGN"", ""GROUP EXHIBITION""]",Design Research
450,The Sidequest Rave,Everyone has their own sound.,"Strijp-S area, Rabauw Brewpub, Torenallee 55",Free,"""The Sidequest Rave"" is an interactive sound installation where differences and limitations lead to danceable musical outbursts. In this experience, the audience becomes the artists. Join in and celebrate diversity!",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/rsz-2naamloos_1696261170_1800x1010.png,https://ddw.nl/en/programme/10250/the-sidequest-rave,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""SPECULATIVE & SOCIAL DESIGN""]",Social Design
451,The Sky Is The Mirror,,"Station area, Design Perron, Fuutlaan 12",Free,"The Sky Is The Mirror is a result of a contemporary revision of astrology through three textile techniques; digital jacquard weaving, rope braiding, and handweaving. The 5 pieces are based on the users' astrological zodiac chart, creating a personalized wearable textile collection.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/mia-line-up-150-mb_1693471324_1800x1010.jpg,https://ddw.nl/en/programme/10782/the-sky-is-the-mirror,,
452,The smallest desk for the biggest challenges,"Every day, a fresh perspective on the approach of a social design studio.","Strijp-S area, Foundation We Are, Torenallee 22-04",Free,Daily a different social design studio sharing their design process at the old Yksi store at Strijp S. We explain to you the importance of a social design approach within all kinds of themes. How we amplify small problems or make large ones small and manageable.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/social-design-kalender-lr11-ddw-upload_1692181608_1800x1010.jpg,https://ddw.nl/en/programme/9991/the-smallest-desk-for-the-biggest-challenges,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""SPECULATIVE & SOCIAL DESIGN""]",Social Design
453,The space between us,Shifting focus from objects to relationships,"Centre area, Van Abbemuseum, Stratumsedijk 2",Free with DDW Ticket,"Who or what determines the function of an object? Is a chair still a chair if it is exhibited in a museum? Maker, place and context: they determine the meaning of an object. The space between us questions the function of design and the role of the museum.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/mmk-installation-view-crip-time-museum-mmk-finnegan-orth1920x0_1694083162_1800x1010.jpg,https://ddw.nl/en/programme/10106/the-space-between-us,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""SPECULATIVE & SOCIAL DESIGN""]",Social Design
454,The Sticky Glade,,"Sectie-C area, Collaboration O, Daalakkersweg 6",Free with DDW Ticket,"JB presents in his own studio a new series of furniture made with leftover wood and duct tape. They are showcased in their natural habitat: The Sticky Glade, a scenography made out of painted cardboard representing an imaginary forest, inspired from his childhood video games.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/jbgambier-stickygladeddw1_1693485373_1800x1010.jpg,https://ddw.nl/en/programme/10755/the-sticky-glade,,
455,The Symbiocene Forest - Down to Earth,,"Strijp T+R area, BioArt Laboratories, Oirschotsedijk 14-10",Free,"'Symbiocene Forest-Down to Earth' shows an ongoing journey of projects by inspiring creators investigating the Symbiocene. They invite us to explore a new world where human activity, art and the natural world converge harmoniously, creating a balanced world where we seamlessly integrate with nature.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/ddw-website-banner2_1695112721_1800x1010.jpg,https://ddw.nl/en/programme/9675/the-symbiocene-forest-down-to-earth,"[""EXHIBITIONS"", ""OUR THRIVING PLANET"", ""INDEPENDENT & CRITICAL DESIGN""]",Bio Design
456,The table: sketching/making/together.,,"Station area, Technical University of Eindhoven - Atlas Building, Het Eeuwsel 53",,"‘The table: sketching/making/together’ is a week-long programme about sketching. Hosted at the Technical University of Eindhoven and open to all, the programme consists of daily one hour workshops running from Monday to Friday at lunchtime (12H30 - 13H30).
Full programme @the_sketching_table",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/illustration-school-ines-neto-dos-santos_1693402653_1800x1010.png,https://ddw.nl/en/programme/10128/the-table-sketchingmakingtogether,"[""WORKSHOP"", ""OUR EQUAL SOCIETY"", ""INDEPENDENT & CRITICAL DESIGN""]",Social Design
457,The Transformable Textile Interior,,"Station area, Design Perron, Fuutlaan 12",Free,"This project consists of five transformable indoor textiles that adapt to
different functions in a home. The jacquard-woven textiles offer space and material-saving solutions, while their intricate graphics and tactilities provide a rich sensory experience to users.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/dscf6241small_1693413344_1800x1010.jpg,https://ddw.nl/en/programme/10763/the-transformable-textile-interior,,
458,the Value of a Material World,Paradigm Print Shift,"Strijp-S area, VEEM floor 8, Torenallee 100",Free,Alter-dimensional artist transcends her electronic compositions beyond the confines and transience of the digital realm into during tangible life-size décor pieces.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/wallcandy-glitchia-goddess1_1694558047_1800x1010.jpg,https://ddw.nl/en/programme/10667/the-value-of-a-material-world,,
459,Thijs Biersteker - Woven Studio,,"Strijp-S area, Microlab Hall, Kastanjelaan 400",Free with DDW Ticket,,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1-thijs-biersteker-mb-co2-dda23-data-interaction_1689586763_1800x1010.jpg,https://ddw.nl/en/programme/10482/thijs-biersteker-woven-studio,,
460,Threads of Data,Embracing FashionistAI: Translating Your Digital Footprint into Tailored Fashion Narratives.,"West area, Fashion Tech Farm, Zeelsterstraat 80",Free,"""Threads of Data"" transforms your personal data into digital fashion narratives, using innovative FashionistAI to craft tailored style recommendations from your public digital footprint, bridging the realms of technology and fashion for a unique, personalized experience.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/troykyo-a-1970s-arcade-console-in-pink-with-a-young-woman-stand-3d664685-a53d-4b77-a49c-416a27243721-1684162998_1693506831_1800x1010.png,https://ddw.nl/en/programme/9876/threads-of-data,"[""EXHIBITIONS"", ""OUR DIGITAL FUTURE"", ""SPECULATIVE & SOCIAL DESIGN""]",Experience Design
461,Time flies but I fly higher,,"Strijp-S area, VEEM floor 8, Torenallee 100",Free,"Wall jewels, feminism, self-reflection, hidden layers and mirror of hidden identity, Felicie Vitrai explores your deeper relationship with your core and the role you want technology and your environment to play. She encourages you to interact with your own reflection and explore various avatar skins",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/felicie-miniature3_1694625553_1800x1010.jpg,https://ddw.nl/en/programme/11043/time-flies-but-i-fly-higher,,
462,Time Pieces - Chronomaterials,Biomaterials as an interface to unveil subjective experience of time,"Strijp-S area, VEEM floor 8, Torenallee 100",Free,Time Pieces-Chronomaterials is designed by Hazal Ertürkan to question our relationship with time and aims to unveil our personal experience of time by utilizing biomaterials and ‘the body’ as an interface between us and our experiences to replace our negative perception about the passage of time.,https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1-s_1693569773_1800x1010.jpg,https://ddw.nl/en/programme/10338/time-pieces-chronomaterials,"[""EXHIBITIONS"", ""OUR HEALTH & WELLBEING"", ""SPECULATIVE & SOCIAL DESIGN""]",Bio Design
463,Time well spent dismantling your black box(es): for all watched over by cookie monsters of loving grace,,"Sectie-C area, Hall 16 - C, Daalakkersweg 16",,"As AI develops, its demand for data increases. Data to AI is like a cookie to the always-hungry cookie monster. Yufei Gao embodies the cookie monster to demonstrate how it operates and consumes. This research project aims to understand the cookie monster and its impact on the world.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/yufei-black-box-cookie_1693419895_1800x1010.jpg,https://ddw.nl/en/programme/10706/time-well-spent-dismantling-your-black-boxes-for-all-watched-over-by-cookie-monsters-of-loving-grace,,
464,TIMELESSTIME by MAISON the FAUX,"The complex experience of time and timelessness, lack of time and eternal value is at the heart of TIMELESSTIME by MAISON the FAUX.","Strijp-S area, MU Hybrid Art House, Torenallee 40-06",Free,"Do we lose or gain time with the passing of the years? Does physical deterioration make us vulnerable or is this the very thing that drives us to create, to philosophize, to destroy and start all over again...? MAISON the FAUX addresses this with the impressive TIMELESSTIME at MU Hybrid Art House.",https://ddw.ams3.cdn.digitaloceanspaces.com/thumbs/1-boudewijnbollmann-muhybridarthouse-maisonthefaux-15september2023-hires-062-kopie-lr_1695649641_1800x1010.jpg,https://ddw.nl/en/programme/10449/timelesstime-by-maison-the-faux,"[""EXHIBITIONS"", ""OUR EQUAL SOCIETY"", ""INDEPENDENT & CRITICAL DESIGN""]",Installation Design
